"","Tree","B_mean","G_mean","R_mean","RE_mean","NIR_mean","TIR_mean","B_median","G_median","R_median","RE_median","NIR_median","TIR_median","B_sd","G_sd","R_sd","RE_sd","NIR_sd","TIR_sd","B_min","G_min","R_min","RE_min","NIR_min","TIR_min","B_max","G_max","R_max","RE_max","NIR_max","TIR_max","date","image_name"
"27","Oak1",0.0115773044925076,0.0280699367566894,0.0139447312443875,0.0777057951996819,0.233186362974632,30.605423113016,0.0119762271642685,0.0292314412072301,0.0144645096734166,0.0816982500255108,0.246602296829224,30.5699996948242,0.0031824381752049,0.00748618061771937,0.00474215982721921,0.0226826090153521,0.0561922395203979,0.193768401675014,0.00339733925648034,0.00798077788203955,0.00321948551572859,0.0172619968652725,0.0557571724057198,30.0600128173828,0.0201406721025705,0.0467587374150753,0.0284304041415453,0.132451683282852,0.343361765146255,31.3699893951416,2024-07-11,"20240711_saillon_Ortho.tif"
"28","Oak2",0.0101755690896216,0.0286835278879921,0.0115331087352813,0.0857241369882282,0.255306570206611,29.0404452464266,0.0103706256486475,0.0295282592996955,0.011903865262866,0.0885363779962063,0.260998979210854,29.0400009155273,0.00232421033770717,0.00558330537560016,0.00302305084544148,0.0181209221387994,0.0471215546087758,0.111023610911597,0.00322404317557812,0.00866806972771883,0.00304545159451663,0.0152943078428507,0.0524437129497528,28.7000026702881,0.0164629705250263,0.0423211380839348,0.0263729374855757,0.133050218224525,0.362120807170868,29.4399948120117,2024-07-11,"20240711_saillon_Ortho.tif"
"29","Beech1",0.0165272027807196,0.0463571746810815,0.0167854608993559,0.143334799852906,0.477461766582363,34.0464040250194,0.0162073727697134,0.0466344747692347,0.0163333425298333,0.144891947507858,0.478061333298683,34.0999984741211,0.00484762223413811,0.0118953774978651,0.00560387305827985,0.0339297303754604,0.0854070865823794,0.185920208833022,0.00392438191920519,0.0109415128827095,0.00323371170088649,0.0370805785059929,0.204075276851654,33.5200004577637,0.0331721603870392,0.0889770463109016,0.040277186781168,0.248540982604027,0.719649195671082,34.3899993896484,2024-07-19,"20240719_saillon_Ortho.tif"
"30","Beech2",0.0187784468502512,0.0610453191667918,0.021029270190001,0.163528079422666,0.386823705344685,33.0762745372036,0.0188702270388603,0.0626613274216652,0.0209079068154097,0.171158745884895,0.406420350074768,33.1500015258789,0.00531122624906914,0.0193733587087422,0.00647021486729044,0.0508534341332453,0.0974075202904787,0.320198131085936,0.00360345956869423,0.0102346250787377,0.00315970974043012,0.0217926967889071,0.0709988698363304,32.3899993896484,0.0424508824944496,0.130968049168587,0.0487927906215191,0.306110829114914,0.606018126010895,33.6699981689453,2024-07-19,"20240719_saillon_Ortho.tif"
"31","Oak1",0.0173215008777333,0.0399549013919507,0.0177911904838402,0.106979653413873,0.349637885605916,33.751908364296,0.0171303860843182,0.039717948064208,0.0169740049168468,0.107037559151649,0.35288955271244,33.7400016784668,0.00640310111635522,0.0146934709991848,0.00791287266337974,0.041811214857033,0.112178128521794,0.107194763521394,0.00467096129432321,0.0112881595268846,0.00381137523800135,0.0265660900622606,0.108965814113617,33.560001373291,0.0388184934854507,0.0850885957479477,0.0452886037528515,0.233906283974648,0.617948412895203,34.0800018310547,2024-07-19,"20240719_saillon_Ortho.tif"
"32","Oak2",0.0172892999354665,0.04462149477267,0.0174624571441293,0.125308625325502,0.368875002365682,33.6179551973448,0.0172578562051058,0.0442689023911953,0.0173918101936579,0.124603021889925,0.368825882673264,33.6199989318848,0.0048731963341341,0.0127138890944218,0.00622768061808029,0.0383025134022628,0.0877321051388984,0.171166772536236,0.00494533404707909,0.0137622458860278,0.00372034171596169,0.0283411722630262,0.0940369814634323,32.9199981689453,0.0348097607493401,0.0847330093383789,0.0460459850728512,0.226292550563812,0.582254827022552,34.3800010681152,2024-07-19,"20240719_saillon_Ortho.tif"
"33","Beech1",0.0109335919640179,0.0308108785103367,0.0113945503766766,0.0928968364098838,0.296245148262883,29.0337202362463,0.0107420706190169,0.0307247238233685,0.0112771615386009,0.0940225943922997,0.299966409802437,28.9899997711182,0.00451715648951749,0.012283807856839,0.00515231639917793,0.0346653323411264,0.0757051512788959,0.283731721134662,0.00179954397026449,0.00574567681178451,0.00146625656634569,0.0194020941853523,0.100883811712265,27.7500076293945,0.0246835481375456,0.0663806051015854,0.0272070057690144,0.194014549255371,0.507444322109222,29.9499912261963,2024-07-26,"20240726_saillon_Ortho.tif"
"34","Beech2",0.0149411291979153,0.0469464185976955,0.0171693141304006,0.123814983762734,0.28003567468375,29.1555749647958,0.0159211540594697,0.0508913900703192,0.0182369854301214,0.134987533092499,0.307482376694679,29.1100006103516,0.00586874400069558,0.0199887326163756,0.00762243262918177,0.0541194811166741,0.0999953356128952,0.414128886172901,0.00180087657645345,0.00438092648983002,0.00123218190856278,0.0120484456419945,0.0357168167829514,27.7900066375732,0.0339761786162853,0.0891696959733963,0.0724972859025002,0.234718903899193,0.451738208532333,30.2299995422363,2024-07-26,"20240726_saillon_Ortho.tif"
"35","Oak1",0.0166271739028161,0.03895453546041,0.0183792210013295,0.102738992428252,0.301806775070727,29.1300166018804,0.0173697946593165,0.0402628425508738,0.019133479334414,0.108485445380211,0.316879719495773,29.1399993896484,0.00444838817618506,0.0105778735795059,0.00608474713594197,0.0334919750297685,0.0862100853209456,0.116284160711982,0.0054928120225668,0.0124605800956488,0.00349376117810607,0.0228996183723211,0.0794106796383858,28.8400001525879,0.0254754535853863,0.0609700158238411,0.035040557384491,0.175242945551872,0.504558444023132,30.5599880218506,2024-07-26,"20240726_saillon_Ortho.tif"
"36","Oak2",0.0146417150807501,0.0380912048020298,0.0157474003376856,0.104771603460089,0.291377072692478,28.5826971306711,0.0157947018742561,0.0415339171886444,0.0168575905263424,0.11470852792263,0.31529700756073,28.5900020599365,0.00505934994471522,0.0124873734067792,0.00627846596623364,0.0358506058385151,0.0848900823192996,0.22000175215272,0.00126028177328408,0.00448974687606096,0.00111498241312802,0.00841500144451857,0.0320421382784843,28.0400009155273,0.0271777547895908,0.0667002201080322,0.0396921150386333,0.185230359435081,0.462911486625671,29.8499851226807,2024-07-26,"20240726_saillon_Ortho.tif"
