"polygon_id","B_mean","G_mean","R_mean","RE_mean","NIR_mean","TIR_mean","B_median","G_median","R_median","RE_median","NIR_median","TIR_median","B_sd","G_sd","R_sd","RE_sd","NIR_sd","TIR_sd","B_min","G_min","R_min","RE_min","NIR_min","TIR_min","B_max","G_max","R_max","RE_max","NIR_max","TIR_max","date","image_name"
1,0.0132810062121755,0.0600507674180435,0.0149562472895142,0.174710535453271,0.424183046432652,27.6821644967372,0.0134587725624442,0.0619249306619167,0.01528100669384,0.180099785327911,0.435323297977448,27.7099990844727,0.00412052085998575,0.0164025598402985,0.00517524321817322,0.043862794667464,0.0737977463296361,0.416754709211348,0.00299360509961843,0.014013921841979,0.00268936064094305,0.0539320297539234,0.216204166412354,26.3199996948242,0.0290347523987293,0.105832129716873,0.0409105829894543,0.270376205444336,0.581155359745026,28.5,2024-05-15,"20240515_saillon_Ortho.tif"
2,0.0120965105383337,0.0450812817003259,0.0143998992437374,0.128642228652531,0.290161478663973,26.0947753452285,0.0133257606066763,0.0513623934239149,0.0153906065970659,0.14602317661047,0.325324043631554,26.1800003051758,0.00529557753571083,0.0230621454830842,0.00658698804502834,0.0647423293287921,0.117723786655421,0.721075595438534,0.00163494737353176,0.0043748733587563,0.00172907789237797,0.0149921542033553,0.0567004308104515,24.6399993896484,0.0269292760640383,0.0901331529021263,0.0436991564929485,0.247050330042839,0.506054282188416,27.2999992370605,2024-05-15,"20240515_saillon_Ortho.tif"
3,0.0124637573803068,0.0498673859496717,0.0155693367890406,0.143776948287131,0.330200779658236,26.8682134859616,0.0126603562384844,0.0525007043033838,0.015755582600832,0.152755439281464,0.349532172083855,26.8899993896484,0.00277143974016471,0.0115620624972416,0.00436894968683728,0.0354053009227391,0.0694353199089398,0.108148231414532,0.00346875446848571,0.0128585919737816,0.00351857370696962,0.03342479839921,0.0916623696684837,26.3600006103516,0.022571275010705,0.0742910206317902,0.0311804469674826,0.219610795378685,0.454526722431183,27.3700008392334,2024-05-15,"20240515_saillon_Ortho.tif"
4,0.010178175548961,0.0471100168823675,0.0128306242008042,0.14119668200586,0.341967924827566,26.5757202822012,0.010161513928324,0.048786973580718,0.0128128319047391,0.147164024412632,0.35328683257103,26.5400009155273,0.00250977937296278,0.0108252118934349,0.00355758725412444,0.0295159551415474,0.0621389674113941,0.170738577433456,0.00321457488462329,0.0124881472438574,0.00347969657741487,0.0412082746624947,0.10498420894146,26.1599998474121,0.0217237677425146,0.0809737741947174,0.0270407740026712,0.221305191516876,0.516223549842834,26.9400005340576,2024-05-15,"20240515_saillon_Ortho.tif"
1,0.0129637773429921,0.0536333568779426,0.0155213595578938,0.182602139719415,0.480063230591527,22.7256749478221,0.012949775904417,0.0547780375927687,0.0152281946502626,0.189031980931759,0.514376521110535,22.6700000762939,0.00466111882944241,0.0185364795754522,0.00627176672665543,0.0637158775243282,0.134625148927613,0.326481984444823,0.00161365699023008,0.00595849007368088,0.0017420204821974,0.0275849401950836,0.122976243495941,21.6100063323975,0.0283292885869741,0.0907431319355965,0.0405422560870647,0.328661054372787,0.755908191204071,23.8999977111816,2024-05-25,"20240525_saillon_Ortho.tif"
2,0.0171438221488211,0.0697887453282157,0.0230076313592528,0.228227781582347,0.497655808775063,22.8024315398862,0.0168947773054242,0.0713342614471912,0.0222656140103936,0.234530881047249,0.510343492031097,22.8999996185303,0.00494897749250987,0.0193685174555513,0.00803898659563289,0.0602552751811491,0.0997462201498837,0.491196619719675,0.00393384182825685,0.0134604554623365,0.00470469100400805,0.056768786162138,0.186697199940681,21.4300022125244,0.0433438122272491,0.126815482974052,0.0846792161464691,0.374883204698563,0.718296885490417,23.9999923706055,2024-05-25,"20240525_saillon_Ortho.tif"
3,0.0111737140155254,0.0358609183068172,0.0135899719029952,0.107807219550014,0.269848716115722,24.5597037982941,0.011418713722378,0.0387135241180658,0.0139555232599378,0.118211064487696,0.296285539865494,24.5300006866455,0.00316474650022159,0.0113563059503618,0.00414259977661162,0.0359612374821999,0.0774092899319455,0.115361961950836,0.00396744860336185,0.00939571484923363,0.00373815977945924,0.0253083351999521,0.0824031308293343,24.3400001525879,0.0279465094208717,0.0644920095801353,0.0327545069158077,0.18021148443222,0.398781388998032,24.9200000762939,2024-05-25,"20240525_saillon_Ortho.tif"
4,0.00905402115545829,0.0350478877460201,0.0111978704333995,0.107632778409108,0.267045164520033,23.2500217932242,0.0091148167848587,0.0367231257259846,0.0109814242459834,0.113546334207058,0.281105980277061,23.2700004577637,0.00293784595578686,0.0101387695731934,0.00476514958679315,0.0306683739750789,0.0600508352283237,0.262264979788161,0.00247464468702674,0.00926191918551922,0.00246468698605895,0.0242066346108913,0.079237625002861,22.6000003814697,0.0301826223731041,0.0620597563683987,0.0581917203962803,0.186044782400131,0.388877421617508,23.9400005340576,2024-05-25,"20240525_saillon_Ortho.tif"
1,0.0114337080613501,0.0390171498115346,0.0118928163013022,0.126448394732968,0.389645699594094,28.0300368406335,0.0113960020244122,0.0406727585941553,0.0118901715613902,0.132935434579849,0.409016221761703,28.2000007629395,0.00448787070185892,0.0138670283706153,0.00505313754436846,0.0417934058245305,0.094273632017178,0.780994342976413,0.00220602564513683,0.00682297442108393,0.00166893727146089,0.0241993330419064,0.107371285557747,25.3400001525879,0.0349286198616028,0.0805217921733856,0.0378447435796261,0.233136430382729,0.590930819511414,28.9799995422363,2024-06-05,"20240605_saillon_Ortho.tif"
2,0.010926213881953,0.0322758078458955,0.013131671970911,0.0934358942227978,0.226192193625947,26.1262947989123,0.0112313204444945,0.0282837115228176,0.0128570604138076,0.0769595690071583,0.202635109424591,26.1000003814697,0.00600981051078464,0.0218903693119382,0.00857326032680288,0.0669507846114645,0.129976263916833,0.418363824203059,0.00154276075772941,0.00297783338464797,0.000992613029666245,0.0105990068987012,0.0465041622519493,24.6700077056885,0.0473513677716255,0.0842405334115028,0.0693235844373703,0.259144753217697,0.509290814399719,26.9300003051758,2024-06-05,"20240605_saillon_Ortho.tif"
3,0.0140910946815507,0.0455382535676548,0.016963676227973,0.133463858388626,0.35145290544427,26.4460008136587,0.0147960782051086,0.0493288412690163,0.0178078757598996,0.14432667940855,0.378406599164009,26.3700008392334,0.00437430812868971,0.0149786526837301,0.0063115799009344,0.0429203237829154,0.0898617890764956,0.263460015554942,0.00190842838492244,0.0044865682721138,0.00151472596917301,0.014622263610363,0.0677177086472511,25.9699993133545,0.0258145164698362,0.0747861787676811,0.0360384583473206,0.219769015908241,0.507042646408081,27.5100002288818,2024-06-05,"20240605_saillon_Ortho.tif"
4,0.00891704332938669,0.0282200740164934,0.00983183961016878,0.0829652617155359,0.244669073105145,25.4112269328191,0.00846912758424878,0.0270145963877439,0.00920970644801855,0.0800967179238796,0.241421572864056,25.4400005340576,0.00370569353895332,0.0123350105490772,0.00496597121674572,0.0349061579319142,0.0789548265184645,0.148520631295509,0.00186313770245761,0.00497710751369596,0.00108507624827325,0.017176141962409,0.0623912923038006,24.8600006103516,0.023449644446373,0.0622555539011955,0.0311154536902905,0.169964015483856,0.442858099937439,25.7099990844727,2024-06-05,"20240605_saillon_Ortho.tif"
1,0.011203667857913,0.0385953214306704,0.0122616022620429,0.125399160711972,0.39838200601327,23.9814456168251,0.0109136225655675,0.0388034544885159,0.0119038093835115,0.126376941800117,0.399667978286743,23.9400005340576,0.00345001172366356,0.0103646118502804,0.00417026397906128,0.0298403871948846,0.0630900319218129,0.235065762064273,0.00263054645620286,0.00953086744993925,0.00264894356951118,0.0388274528086185,0.190754294395447,23.6200008392334,0.0327759012579918,0.0737854987382889,0.0309111177921295,0.226554289460182,0.666633665561676,24.7900009155273,2024-06-13,"20240613_saillon_Ortho.tif"
2,0.014239380615196,0.0498840161377334,0.0169112005743529,0.149785277295201,0.359025280309116,21.4960505372997,0.013640689663589,0.0490433238446712,0.0160602293908596,0.147979587316513,0.359128832817078,21.5599994659424,0.0042766457542455,0.0135994844448124,0.00563330379817528,0.0362445463656859,0.0634316825379407,0.333864850882287,0.00235344213433564,0.00446464167907834,0.00314945611171424,0.0221387520432472,0.0922167301177979,20.1100006103516,0.0397673808038235,0.107499875128269,0.0476846061646938,0.282432347536087,0.563737571239471,22.2900009155273,2024-06-13,"20240613_saillon_Ortho.tif"
3,0.0130368443594601,0.0355707370973407,0.015560332231331,0.102096287876081,0.307761584190795,21.25806157699,0.0127608058974147,0.0355109963566065,0.0149602121673524,0.10165623575449,0.316686794161797,21.2399997711182,0.00497933764499892,0.0149436071788455,0.00638163377185153,0.0425756580564468,0.10184550601969,0.101745500434018,0.00352755771018565,0.0071937614120543,0.00420859502628446,0.0208279639482498,0.0792223215103149,20.9599990844727,0.0333085767924786,0.0787224695086479,0.0418868847191334,0.228914320468903,0.538658976554871,21.6100006103516,2024-06-13,"20240613_saillon_Ortho.tif"
4,0.0118567031253935,0.0368502680848021,0.013800258947416,0.107424020450684,0.315950700719675,21.1437218755419,0.0116683589294553,0.0369566343724728,0.0134523673914373,0.108023710548878,0.319047018885612,21.1900005340576,0.00315075735209139,0.00856968266435358,0.0042303917434658,0.0225659362989968,0.0551337047074836,0.206418922812481,0.00398751022294164,0.0114375399425626,0.00405512982979417,0.0385930277407169,0.151680007576942,20.3500003814697,0.0334066115319729,0.0795112624764442,0.0588686875998974,0.22112625837326,0.46432563662529,21.7700004577637,2024-06-13,"20240613_saillon_Ortho.tif"
